"","WGT","AGE","EDUC","INCOME","CHECKING","SAVING","NMMF","STOCKS","FIN","VEHIC","HOMEEQ","OTHNFIN","DEBT","NETWORTH"
"X6115",7434.1714582,55,13,61674.641148,2000,1000,0,0,58000,7300,0,0,9850,55450
"X11495",9240.9039887,44,16,81204.944179,5700,2200,0,8800,182500,17100,47000,0,97100,222500
"X17710",8507.0410183,77,9,23641.945774,13000,0,10000,80000,187500,24000,125000,6000,0,342500
"X10510",7534.6362609,19,12,5653.5087719,0,0,0,0,0,0,0,0,0,0
"X10990",5651.0074404,45,11,35976.874003,2400,0,0,1200,12500,11200,18000,0,31100,38600
"X13300",5711.5574545,59,12,16446.570973,100,70,0,0,5220,5200,30000,0,93340,37080
"X19315",6143.5716567,37,12,25697.767145,1600,5,0,0,5605,11100,15000,0,72500,24205
"X10685",7444.5160793,45,12,23641.945774,0,0,0,0,0,3400,0,0,2500,900
"X19330",6984.1467461,48,14,71953.748006,2000,5600,0,15000,188600,7300,60000,13000,101200,267700
"X16260",6003.7896494,46,10,6167.4641148,0,10,0,0,10,2100,0,0,0,2110
"X13945",9197.4307316,35,9,34948.963317,1500,5100,0,0,13600,7900,0,0,98000,18500
"X2330",6659.732174,46,17,20558.213716,1000,400,6000,40000,109400,14000,95000,0,100110,288290
"X12080",5664.1469055,20,14,21586.124402,700,0,0,0,760,6100,0,0,11770,-4910
"X16900",3237.7454905,69,17,415275.91707,234400,0,0,1e+06,2940400,60900,4e+05,0,124000,3697300
"X1080",11386.752961,31,17,55507.177033,810,45000,0,0,108810,33000,52000,0,41300,320510
"X19180",2812.2327165,53,16,87372.408293,0,80350,236000,20000,867350,41500,301000,0,137000,1196850
"X2925",6746.536873,38,16,149047.04944,2000,15000,0,0,561000,13000,182000,9000,168000,765000
"X7555",7486.246881,62,12,35976.874003,7500,0,42000,0,131900,4900,80000,0,0,216800
"X16600",8180.4213231,57,17,166521.5311,3000,2700,0,0,85700,37900,122000,0,36300,317300
"X16795",7270.1531468,37,12,65786.283892,400,50,0,0,8450,38000,5000,0,152250,36200
"X16545",7485.1323865,60,12,44200.15949,2000,1500,0,0,132500,17900,110000,0,8050,252350
"X20245",6984.712351,25,12,56535.087719,2000,0,0,0,2000,22700,3000,0,36490,15210
"X9180",6503.6143318,32,17,87372.408293,0,5500,4000,50000,137000,36400,33000,0,102500,185900
"X16480",9494.7847438,76,14,69897.926635,1500,0,173000,1e+05,448100,38100,239000,50000,16000,825200
"X17355",11253.990404,57,12,66814.194577,1610,400,0,0,67010,30000,490000,0,120000,527010
"X5875",7786.5650106,80,10,8326.076555,6000,1000,0,0,7000,1300,40000,0,0,48300
"X16145",7168.1489212,45,14,50367.623604,0,3000,0,2500,26200,11000,137000,0,40500,171700
"X21770",5079.5219364,62,8,7298.1658692,0,0,0,0,0,0,0,0,0,0
"X11820",5689.9210027,38,16,69897.926635,2501,1200,48000,0,298601,18000,44000,0,91000,360601
"X9390",7393.9024167,65,16,14390.749601,1000,3000,2000,2000,50000,2500,59000,0,0,111500
"X12520",6332.1609498,67,10,14390.749601,6000,0,0,0,6000,0,0,0,0,6000
"X12040",11386.752961,76,16,37004.784689,2500,11000,0,38000,128500,18000,3e+05,0,0,637500
"X8890",10431.846514,50,11,114098.08612,15000,0,0,8300,27700,37300,17000,0,98300,83900
"X150",6767.4427939,29,13,47283.891547,100,0,0,7000,7100,14000,10000,0,45330,29770
"X4600",7132.4825599,66,7,34948.963317,1500,800,0,0,21300,64000,72000,0,28000,183300
"X12490",7344.0563426,70,12,13362.838915,40,0,0,0,1540,6300,16000,0,42800,20040
"X5640",8473.5305218,43,12,17474.481659,0,1700,0,0,11200,2900,31300,0,5700,45400
"X1758518",6373.691711,52,17,57562.998405,1000,0,0,0,92100,22000,43000,0,92000,148900
"X3105",1720.8496674,54,17,444057.41627,0,0,3900000,1e+05,7885000,92000,9e+05,0,0,9102000
"X1070019",6501.270854,83,14,58590.909091,0,0,330000,275000,640000,22000,1e+05,0,0,836000
"X7035",8463.5537332,49,16,54479.266348,0,0,0,0,26000,2500,63000,0,114000,124500
"X19950",4181.7755899,53,16,243614.83254,8300,3010,0,2300,949410,38100,30000,0,148750,1183760
"X12835",4692.9691006,39,12,40088.516746,1500,15,0,0,2515,5700,0,0,9540,22675
"X12050",5651.0074404,48,12,67842.105263,2500,2800,0,0,5300,9100,-2000,0,84400,12000
"X12605",7292.5295041,48,14,116153.9075,2800,410,0,0,80210,48900,25000,0,119700,99410
"X16605",10121.858217,74,14,67842.105263,6500,0,0,0,48500,21000,225000,0,0,294500
"X100",6078.508739,65,9,7914.9122807,0,0,0,0,0,0,0,0,0,0
"X21095",6777.8412204,51,14,76065.39075,600,0,0,0,386100,24300,70000,0,142560,454840
"X9640",8069.929106,52,12,35976.874003,400,0,0,0,14500,1200,21000,0,69260,36440
"X18820",1099.8573125,50,17,248754.38596,237500,250000,0,2200,2251700,121000,301000,2500000,157050,5165650
"X20565",11386.752961,40,17,193247.20893,5000,1000,0,23000,384360,30900,148000,0,187000,478260
"X13035",8220.9304216,83,14,81204.944179,7000,193000,0,0,449800,19600,175000,0,0,644400
"X15555",307.38223852,48,16,176800.63796,5200,1000,650000,0,2187200,179000,170000,2500000,0,13036200
"X8315",6657.7220286,69,16,51395.53429,1000,115000,0,10000,286000,8000,3e+05,0,0,664000
"X990",6273.6366188,28,11,69897.926635,3000,0,0,0,13500,15700,6000,0,91100,33100
"X19305",4792.561442,47,17,93539.872408,5400,0,0,15000,20400,0,0,0,0,70400
"X14165",8909.1588497,54,14,69897.926635,2500,0,28000,62000,398500,15500,0,0,0,564000
"X1785",9471.2816414,63,12,21586.124402,2300,0,0,0,17300,5400,95000,0,26000,118700
"X22045",3394.2432441,68,12,80177.033493,2000,15000,0,25000,42000,12000,101000,0,42000,137000
"X31520",5870.6340128,40,12,42144.338118,400,0,0,0,5400,21000,8000,0,58640,17760
"X21535",8618.8325084,66,12,9765.1515152,550,5600,0,0,71150,4000,39000,0,11000,114150
"X8005",7407.0568959,45,17,51395.53429,8000,0,0,0,60000,2000,0,0,0,132000
"X21855",5619.8455048,28,14,56535.087719,1600,1430,0,0,3230,4000,0,0,3800,78430
"X2965",8016.8138726,54,16,92511.961722,1100,400,11000,10000,93500,11600,33000,0,67930,137170
"X19925",8390.7838184,38,12,35976.874003,3500,77000,63000,0,150700,18600,85000,0,7400,246900
"X21305",7544.4667598,35,5,10279.106858,0,0,0,0,0,0,0,0,0,0
"X11315",11291.181493,63,17,75037.480064,7200,6200,0,45000,1450900,18400,173800,20000,1200,1663100
"X2870",6938.156353,37,8,16446.570973,0,200,0,0,200,16300,15300,0,3700,31800
"X7845",5128.3639063,24,9,37004.784689,200,0,0,0,200,21000,-9000,0,72200,-16000
"X11325",9377.8583512,41,13,80177.033493,200,2200,0,300,30700,29000,39000,0,113400,55300
"X7135",6633.8745169,24,14,32893.141946,1700,0,600,0,28300,0,0,0,21900,6400
"X1223521",5988.0416503,26,16,61674.641148,3000,0,0,0,16000,16000,0,0,31000,1000
"X19955",5867.5632099,55,12,43172.248804,7000,0,62000,0,87600,6800,235000,0,0,329400
"X12115",4344.4524704,36,13,25697.767145,0,2000,0,0,27500,0,0,0,1900,25600
"X20770",4390.4068354,26,10,10279.106858,0,0,0,0,2000,5600,0,0,0,7600
"X695",7345.0839654,45,12,39060.606061,0,0,0,0,1200,4300,0,0,15570,-10070
"X11320",10038.826299,41,16,128488.83573,5000,0,0,20000,85000,33400,65000,0,90000,183400
"X7080",6071.8607758,61,12,27753.588517,1300,0,330000,90000,464300,22000,138000,0,0,624300
"X21705",6325.1681468,42,12,20558.213716,0,0,0,0,2000,17500,6000,0,0,25500
"X10855",7418.4264656,50,14,102791.06858,5300,1700,0,0,51700,55500,288000,0,201410,355790
"X6340",7390.7141863,46,16,82232.854864,2000,100,0,0,20100,28600,64000,0,169000,99700
"X17450",7513.2425649,57,12,11307.017544,0,0,0,0,0,2600,0,0,0,2600
"X2895",8886.6097224,83,12,13362.838915,1,1000,0,0,1001,0,1000,0,550,1451
"X8115",8155.4621688,78,17,98679.425837,7000,0,140000,0,716000,5700,2e+05,0,0,921700
"X430",4603.5133284,35,14,88400.318979,810,6000,20000,0,93810,0,0,0,30200,63610
"X1027522",5933.3748403,43,16,144935.4067,7700,15300,17000,17000,274000,26500,106000,5000,180600,404900
"X387023",7560.2604401,63,12,29809.409888,1500,0,0,0,78700,9400,20000,0,9800,98300
"X13920",6330.8427089,47,12,24669.856459,700,0,0,0,700,12000,0,0,12190,510
"X3160",4384.6391641,46,13,33921.052632,300,0,0,0,300,2300,0,0,100,2500
"X19125",3276.5295281,59,13,154186.60287,2700,0,0,10000,527700,44000,145000,0,30200,1066500
"X21480",1832.446115,60,14,431722.48804,220000,0,990000,156000,1953150,44500,7e+05,220000,0,3427650
"X13180",4989.6261136,47,12,32893.141946,750,0,0,0,750,4200,0,0,2180,2770
"X7970",9005.8034451,88,10,16446.570973,11000,0,0,0,111000,2500,125000,0,0,238500
"X11435",9493.2555436,52,15,100735.24721,0,4100,0,0,19100,25500,38000,0,118100,81500
"X16800",6750.166948,23,13,15418.660287,200,0,0,0,200,0,0,0,160,40
"X5575",6212.7090471,86,12,18502.392344,100,0,0,0,100,7300,550000,0,0,557400
"X9880",4017.0656267,33,12,29809.409888,700,0,0,0,700,0,0,0,0,700
"X13440",5195.9142888,53,8,9765.1515152,10,0,0,0,10,1200,0,0,330,880
"X17370",5668.8620276,46,12,32893.141946,600,0,0,0,600,17400,60000,0,141200,66800
"X17200",10178.691488,76,12,26725.677831,1000,5000,0,0,6000,13200,250000,0,0,269200
"X3905",6746.536873,41,17,183996.01276,15800,18000,0,60000,365800,48000,428000,0,123800,850000
"X14000",7172.7607463,29,12,4214.4338118,0,0,0,0,0,0,0,0,0,0
"X9710",5155.4647812,54,12,15418.660287,1600,0,0,0,4600,0,0,0,5000,-400
"X5300",6574.6564544,76,12,42144.338118,8500,5200,86000,1e+05,282700,13000,1e+05,0,0,395700
"X12985",8867.1917485,40,12,24669.856459,1200,0,0,0,1200,13820,77000,0,25700,691320
"X2007524",10164.968737,56,14,37004.784689,1000,0,0,0,30000,7100,170000,0,11030,196070
"X15575",6836.0440912,39,9,32893.141946,2000,0,0,0,4000,4500,112000,0,98200,120300
"X4245",8696.1124431,67,12,20558.213716,400,0,0,0,400,101900,91000,0,11800,190500
"X21505",5686.0634809,43,12,29809.409888,0,0,0,0,0,10100,0,0,1200,8900
"X4215",7936.4546553,22,15,8223.2854864,0,30,0,0,530,0,0,0,10000,-9470
"X12535",11794.40725,78,12,14390.749601,700,0,0,0,700,3800,165000,0,1200,168300
"X16475",9521.920047,75,10,10279.106858,6800,0,0,0,6800,6300,60000,0,0,73100
"X4570",6836.3887798,53,13,10279.106858,50,0,0,0,50,17400,32000,0,40100,37350
"X15300",8124.9061641,45,12,10279.106858,0,0,0,0,0,0,10000,0,600,9400
"X18200",6704.2828116,40,12,121293.46093,810,1400,0,50000,76210,27400,28000,0,68080,131530
"X2325",7803.2246699,45,15,113070.17544,4900,2000,12000,1000,214900,23700,215000,0,151600,527000
"X3430",4850.2391951,61,2,35976.874003,0,1000,0,0,435900,14100,62000,0,3000,512000
"X7495",6984.712351,32,10,12334.92823,300,0,0,0,300,4100,31000,0,0,35400
"X489525",8641.025818,36,12,30837.320574,400,700,0,0,63100,9980,18000,0,62000,91080
"X1680026",6750.166948,23,13,15418.660287,200,0,0,0,200,0,0,0,160,40
"X21375",7709.7568629,42,14,101763.15789,1000,4201,1400,170000,176601,35500,0,0,33200,178901
"X11115",6525.0951878,64,9,21586.124402,800,0,0,0,14800,12500,1000,0,64000,19300
"X5220",5976.1949667,26,16,30837.320574,6000,0,0,1000,22000,6900,0,0,1000,27900
"X1488027",5711.2391742,52,12,94567.783094,2150,2610,0,0,6340,9900,106000,0,49000,98240
"X21940",6131.7346767,46,12,167549.44179,2530,0,7000,0,18230,15900,174000,0,13700,194430
"X1364528",10246.947402,81,12,44200.15949,51000,0,0,0,108000,17500,2e+05,0,0,325500
"X21040",5845.6749205,25,16,25697.767145,50,0,0,0,11130,16000,0,0,29000,-1870
"X7125",6563.5800848,49,13,31865.23126,0,600,0,0,39000,36000,70000,0,27710,117290
"X8670",5196.589306,21,12,7195.3748006,400,110,0,0,510,11200,0,0,10100,1610
"X10640",6599.9745578,47,12,136712.12121,1500,0,0,0,231500,40600,30000,0,118250,260850
"X18375",3907.1193382,26,12,29809.409888,1000,2500,0,0,3600,11000,0,0,11220,3380
"X20845",7247.0972913,25,12,35976.874003,2400,205,0,2500,6505,20100,4000,0,124900,-18295
"X595",6578.6259012,51,17,162409.88836,5000,27000,0,3000,685000,17500,137000,0,38000,839500
"X1455",5851.6456037,43,16,103818.97927,1000,0,8000,0,227000,15700,184000,0,74200,491000
"X8760",4733.7759037,81,4,4625.5980861,0,0,0,0,0,0,0,0,0,0
"X626029",3036.6356992,44,14,177828.54864,0,0,50000,85000,379000,31000,389000,0,254400,794600
"X8475",11291.181493,53,17,137740.0319,0,2000,350000,150000,631500,30700,5e+05,0,0,1162200
"X3085",6093.4654258,30,14,54479.266348,300,2000,15000,0,30600,23700,12000,0,56300,58000
"X9285",3597.7161469,67,16,129516.74641,4000,70000,50000,3e+05,1805000,14000,750000,0,0,2569000
"X6940",7270.8123579,49,13,48311.802233,1200,180,0,0,3580,9800,25000,0,84800,29580
"X557530",6212.7090471,86,12,18502.392344,100,0,0,0,100,7300,550000,0,0,557400
"X16710",7779.0121155,64,12,6167.4641148,4500,0,0,0,4500,20200,44000,0,850,67850
"X15515",5222.0283532,20,12,14390.749601,20,0,0,0,20,0,0,0,0,20
"X3530",4372.7256302,48,16,102791.06858,3200,0,24000,0,108200,12000,130000,0,120000,250200
"X6860",5487.6011202,43,12,52423.444976,0,0,0,0,2300,0,0,0,0,2300
"X14630",4457.1984806,34,12,31865.23126,1100,80,0,0,6180,9900,0,0,4500,11580
"X14705",9293.5924541,76,14,28781.499203,27000,0,0,0,72760,11000,90000,0,0,173760
"X13010",4911.3896502,30,12,70925.837321,8800,5000,0,0,13800,0,0,0,250,13550
"X1792031",6764.6423987,57,12,25697.767145,1600,900,0,0,111500,11000,88000,0,32340,200160
"X12705",5259.2512427,65,11,25697.767145,2000,5000,0,0,60030,32500,4e+05,0,8200,484330
"X9870",5335.8581173,30,12,44200.15949,500,0,0,0,3000,36800,0,0,21000,18800
"X17305",6237.3653787,32,15,55507.177033,1150,1500,0,0,8950,19200,10000,0,75000,33150
"X21595",7445.0777625,82,12,20558.213716,0,2000,0,2000,5000,0,2000,0,75400,-400
"X13725",7519.7319605,55,11,27753.588517,0,700,0,4000,24220,10000,70000,0,21000,103220
"X10040",7735.4995912,88,13,11307.017544,0,0,0,0,0,0,88000,0,0,88000
"X7005",5575.5339974,52,10,41116.427432,0,1000,0,0,29000,16000,58000,0,32900,172100
"X3760",5696.2367325,41,12,29809.409888,5000,120,0,0,42720,24000,0,0,8100,58620
"X14910",5933.3748403,43,16,308373.20574,4000,1e+05,202000,0,473000,33000,147000,0,222000,624000
"X13365",9269.3339333,55,9,6270.2551834,0,10,0,0,10,5000,75000,0,0,80010
"X11410",5960.057893,33,16,119237.63955,2400,0,0,0,2400,3800,261400,0,67600,267600
"X12220",2814.9047194,36,16,855221.69059,60000,230000,350000,0,992100,88000,250000,60000,250000,2390100
"X18420",7029.1678929,31,13,80177.033493,1550,0,0,3000,24450,23100,17000,21000,93000,70550
"X9005",7842.3749025,40,15,21586.124402,0,0,0,0,100,3200,0,0,10000,-6700
"X11855",7333.3379667,38,12,12334.92823,200,0,0,7000,7200,0,-3000,0,143500,-16300
"X21405",3960.9947972,55,11,30837.320574,0,0,0,0,0,1800,0,0,0,1800
"X21260",9441.6518145,64,12,28781.499203,600,0,0,0,14600,9100,30000,0,600,53100
"X8020",4444.7729993,55,17,8634.4497608,0,500,0,0,500,0,0,0,0,500
"X10370",7938.8327531,34,14,49339.712919,500,550,0,0,4650,5800,10000,0,94100,16350
"X15255",7597.5727563,73,3,23641.945774,3000,0,0,0,3000,8200,50000,0,2000,59200
"X12735",5620.7654528,43,12,72981.658692,1500,0,0,0,45500,18000,153000,0,75300,198200
"X2635",8359.0938774,58,17,57562.998405,2000,6000,0,0,133200,28400,32000,0,55000,208100
"X4765",6452.8206649,37,14,13362.838915,140,0,0,0,11740,9000,0,0,0,25740
"X20295",6316.2725706,38,16,82232.854864,500,200,3000,12000,62200,13000,16000,0,171600,533600
"X4030",5316.4354011,44,12,1233.492823,0,0,0,0,0,3900,0,0,1100,2800
"X21360",9418.0636919,31,11,69897.926635,0,2330,0,0,3730,22300,59000,0,220300,75730
"X858032",7333.3379667,40,12,39060.606061,1000,0,0,0,101400,6700,24000,0,66300,128800
"X15240",11386.752961,30,17,125405.10367,2800,800,1e+05,15000,159600,47000,73900,0,297100,389500
"X1052033",4336.528122,25,14,26725.677831,800,1500,0,0,2300,0,0,0,600,1700
"X8230",2913.2891241,66,16,237447.36842,105000,0,0,375000,5358500,49500,4e+05,0,10000,5843315
"X6565",6185.1675709,45,17,51395.53429,590,5500,22000,0,87890,19400,71000,0,79000,178290
"X8210",8582.8214329,69,8,21586.124402,0,4000,0,0,4000,14500,75000,0,300,93200
"X16370",7369.816718,55,12,12334.92823,2000,0,0,0,16300,0,0,0,52200,34100
"X2495",5634.0684234,68,13,46255.980861,4500,15000,0,0,19500,6000,0,0,150,25350
"X4950",9383.2642086,78,12,21586.124402,3000,700,0,0,79300,9400,89000,0,0,206700
"X20625",3005.5194508,67,17,169605.26316,5000,0,0,0,60000,0,0,0,350000,3360000
"X12640",6976.6009233,38,17,85316.586922,3500,5800,0,0,23300,18000,88000,0,173200,134100
"X16455",9143.1549619,48,16,102791.06858,2000,35000,0,30000,249000,26500,402000,0,186000,979500
"X20670",7144.1291756,36,13,25697.767145,0,0,0,0,50,3500,0,0,6990,-790
"X9855",5315.0495342,28,11,2569.7767145,0,0,0,0,0,0,0,0,0,0
"X7590",6391.5127853,50,12,29809.409888,0,0,0,0,3200,6100,35000,0,45100,39200
"X10390",8251.3463481,82,1,6887.0015949,160,0,0,0,160,0,0,0,0,160
"X6885",4867.2383265,54,17,239503.18979,12700,0,0,0,410000,2000,3e+05,0,18000,694000
"X12630",4832.6968215,87,10,35976.874003,1000,95000,190000,0,360000,0,0,0,0,360000
"X587534",7786.5650106,80,10,8326.076555,6000,1000,0,0,7000,1300,40000,0,0,48300
"X6415",5711.2391742,45,16,97651.515152,1050,10000,0,0,115050,32000,135000,0,11190,270860
"X13800",5809.2267572,72,14,49339.712919,4500,0,184000,0,241500,20500,150000,0,0,412000
"X21210",5990.8378177,39,12,64758.373206,1000,2500,0,0,5500,17000,9000,0,98700,8800
"X20775",5111.3136335,19,14,6887.0015949,700,0,0,0,700,5100,0,0,5000,800
"X16165",6421.3631863,33,16,65786.283892,3500,0,0,1200,7200,59800,30000,0,43400,253600
"X249535",5634.0684234,68,13,46255.980861,4500,15000,0,0,19500,6000,0,0,150,25350
"X18530",5463.0803806,57,17,76065.39075,2500,36000,0,0,57500,15100,135000,0,150410,197190
"X1182036",5689.9210027,38,16,69897.926635,2501,1200,48000,0,298601,18000,44000,0,91000,360601
"X2485",2708.6805496,49,17,61674.641148,400,3000,0,65000,133400,33800,26000,0,127000,1508200
"X16785",10609.357009,74,12,15418.660287,1900,0,0,0,9900,1700,30000,0,0,92600
"X11750",6777.0313367,67,17,104846.88995,10000,22000,3000,0,155000,15100,210000,30000,0,440100
"X3025",6021.0393812,36,14,41116.427432,800,0,0,3500,7100,18000,0,0,29000,-3900
"X3470",6106.0775847,50,12,59618.819777,3000,13900,0,0,19800,18900,75000,0,13000,100700
"X1860",7640.0210007,43,14,97651.515152,4200,1000,0,0,236700,11300,12000,0,325500,422500
"X3920",5952.7512604,28,15,10279.106858,800,0,0,0,800,5500,0,0,10000,-3700
"X19430",8253.7779286,46,12,19530.30303,500,0,0,0,5000,3000,25000,0,0,33000
"X16535",9276.8733215,39,13,26725.677831,200,0,0,200,400,3000,0,0,1240,2160
"X13620",7102.5440765,50,13,32893.141946,1500,5000,0,0,22500,5400,0,0,50,27850
"X17880",7448.2342224,50,14,67842.105263,1700,0,0,0,171700,18300,11000,0,85700,174300
"X4875",8104.8326835,47,15,82232.854864,2000,0,0,50000,220300,29200,60000,0,335000,419500
"X19300",8951.3783811,49,12,7195.3748006,0,1500,0,0,4300,2700,16500,0,10400,21600
"X7075",4214.2722335,27,17,32893.141946,400,0,0,0,7500,0,0,0,32500,-25000
"X15130",1258.07674,58,17,145963.31738,10000,1e+05,1350000,5e+05,2330000,67400,165000,2e+05,110000,3342400
"X13555",7031.0802033,53,17,204554.22648,35000,0,0,0,77000,47000,8000,0,172000,212000
"X8385",5165.9871601,42,12,98679.425837,200,200,0,0,400,20700,0,0,11380,9720
"X831537",6657.7220286,69,16,51395.53429,1000,115000,0,10000,286000,8000,3e+05,0,0,664000
"X1330",6038.9239627,21,12,55507.177033,200,550,0,2300,3940,20600,0,0,32330,1710
"X6710",6046.9947031,44,14,77093.301435,2000,2000,0,0,125000,65200,60000,0,115700,194500
"X6055",3727.8708913,55,16,236419.45774,0,0,0,0,20500,47000,6e+05,0,1800,1065700
"X20455",2617.2981816,46,12,263145.13557,8000,11000,405000,60000,1384000,82000,350000,70000,70000,2643000
"X2025",1782.7151952,44,16,211749.60128,7000,1500,2e+05,70000,558600,43800,441000,0,259000,1307480
"X8485",8332.8959784,69,12,24669.856459,0,0,0,0,50800,4700,18000,0,52050,73450
"X6475",6829.6252492,30,14,42144.338118,1000,0,0,0,1000,0,0,0,10300,-9300
"X4305",3570.0930194,59,14,74009.569378,14000,0,296000,0,1378000,23000,210000,0,0,1611000
"X6900",9220.5449806,71,16,51395.53429,15000,14000,95000,153000,540000,48800,130000,0,0,1018800
"X14525",3787.5753799,39,17,290898.72408,9000,900,0,3e+05,607900,36000,408000,0,468410,1253490
"X3070",5948.8229127,51,16,34948.963317,1000,2620,0,0,55020,6200,36000,0,84500,96720
"X811538",8155.4621688,78,17,98679.425837,7000,0,140000,0,716000,5700,2e+05,0,0,921700
"X1420",5491.3647764,58,16,58590.909091,7000,10000,0,0,104500,0,0,0,0,104500
"X542039",7143.7854765,43,15,58590.909091,50,1960,1500,0,12310,13700,-7000,0,168930,-32920
"X18380",3800.5231324,81,9,101763.15789,36100,1700,135000,1e+05,748800,20200,30000,0,0,1184500
"X4185",9295.7487472,68,16,34948.963317,630,0,0,0,51230,6100,90000,0,0,147330
"X13830",6275.931791,41,14,5139.553429,0,20,10000,0,26020,3200,0,0,14000,15220
"X6590",8483.7783973,51,12,88400.318979,480,3050,0,0,134930,26900,55000,0,141070,195760
"X13340",4841.295688,41,8,32893.141946,1500,0,0,0,10500,4200,0,0,6080,8620
"X5625",673.06475624,35,17,170633.17384,6000,0,7000,0,197000,32600,185000,0,324570,480030
"X9625",8567.4103409,58,14,93539.872408,4100,6000,0,150000,285100,11900,258000,0,30000,597000
"X12020",7758.8189372,75,9,17474.481659,3000,0,0,0,24000,2600,180000,0,0,206600
"X9580",3597.7161469,53,16,170633.17384,10000,30,5e+05,0,527330,12300,212000,0,638000,1751630
"X277040",7022.5453795,62,16,47283.891547,2700,2000,0,0,11400,6300,115600,0,41400,96300
"X50",4662.1601474,32,14,79149.122807,0,2000,0,0,71000,12000,0,0,25110,57890
"X369541",10109.21361,49,17,76065.39075,2000,500,0,0,40100,5900,8000,0,169000,54000
"X7540",5516.1131353,45,13,22614.035088,300,0,0,0,39300,3200,0,15000,0,57500
"X1030",10556.256706,77,12,29809.409888,1000,1000,0,0,2000,0,0,0,0,2000
"X14400",8454.0718773,72,10,4008.8516746,0,0,0,0,0,0,50000,0,0,50000
"X7415",3639.7241981,41,14,29809.409888,0,0,0,2500,61000,6500,96000,0,105300,169200
"X3990",6367.9364327,65,5,12334.92823,0,0,0,0,0,0,0,0,0,0
"X3245",6936.3230413,63,12,53451.355662,3300,0,0,60000,79300,16000,70000,0,0,165300
"X2575",5576.2209015,67,17,65786.283892,3000,200,4000,0,23200,5600,0,30000,142120,751680
"X9105",7529.2121577,60,12,20558.213716,1500,0,0,0,1500,5700,15000,0,17400,34800
"X7985",5978.389494,26,14,89428.229665,2000,0,0,0,3240,48400,63000,22000,118700,158440
"X1300",8554.5639113,79,14,31865.23126,810,5100,0,17000,24910,15000,215000,0,0,254910
"X4760",4867.2383265,39,17,78121.212121,400,0,0,116000,144300,33300,259000,20000,181800,460800
"X16305",6168.6436205,22,12,33921.052632,60,0,0,0,60,2600,0,0,5300,-2640
"X21035",6648.1001241,48,14,45228.070175,0,7500,30000,0,216000,4800,70000,0,80800,290000
"X2905",5929.3157697,75,13,9251.1961722,3000,30000,0,0,43000,0,0,0,0,43000
"X1610",8138.5659472,72,12,25697.767145,11000,8500,0,0,100500,14000,50000,0,2000,162500
"X3490",5496.9281872,56,12,15418.660287,4000,500,0,0,31500,17000,37000,0,93000,335500
"X16585",9117.2509365,21,12,28781.499203,50,0,0,0,50,0,0,0,2300,-2250
"X4145",9942.5214787,66,10,25697.767145,0,0,0,0,30000,4900,30000,0,0,64900
"X3135",7973.0718198,35,12,61674.641148,0,0,0,0,0,14000,94000,0,56000,108000
"X6000",5336.4730092,25,16,20558.213716,1500,3000,20000,0,37500,4300,0,0,0,41800
"X10420",5478.6751281,39,12,51395.53429,0,0,0,0,10000,15000,0,0,0,25000
"X1655",5586.160638,58,14,34948.963317,0,0,0,0,0,10200,32000,0,46900,43300
"X10705",7409.4580819,48,7,12334.92823,4000,0,0,0,4000,0,0,0,0,4000
"X11735",6187.689479,49,16,122321.37161,20000,0,71000,0,388900,48800,230000,0,70000,667700
"X6720",5215.7506554,22,12,18502.392344,1200,500,0,0,1700,4700,0,0,0,6400
"X12680",8925.5407821,27,12,37004.784689,2150,500,0,1000,6150,11700,84000,0,36000,71850
"X7530",10000.026957,66,12,25697.767145,1200,6000,0,0,7200,29200,30000,0,12000,54400
"X7795",6111.3966785,41,13,40088.516746,120,1,0,0,1421,9100,0,0,7800,2721
"X1480",5140.6392723,49,16,29809.409888,1800,21600,0,0,23850,14000,0,0,0,37850
"X21575",6161.6718571,43,2,68870.015949,1740,10500,0,0,227540,29000,1e+05,0,153000,333540
"X2585",9636.8011067,58,10,83260.76555,8000,0,0,0,47000,28100,30000,0,80350,261050
"X16595",7065.6085699,52,6,5550.7177033,0,0,0,0,0,0,0,0,0,0
"X4040",7888.3856796,68,7,14390.749601,100,0,0,0,100,3600,35000,0,150,38550
"X1630542",6168.6436205,22,12,33921.052632,60,0,0,0,60,2600,0,0,5300,-2640
"X16330",6551.0791845,25,16,71953.748006,5000,2740,0,0,12840,4800,0,0,300,17340
"X15665",8384.9107971,36,17,12334.92823,2500,26000,0,21000,72640,24000,60000,0,26900,269740
"X690043",9220.5449806,71,16,51395.53429,15000,14000,95000,153000,540000,48800,130000,0,0,1018800
"X6795",8112.0824799,43,16,121293.46093,300,100,0,0,400,17200,55000,0,109900,222700
"X21350",9864.7351023,68,12,24669.856459,1200,200,0,0,3400,3200,113000,1500,17220,119880
"X6700",1503.1836353,66,16,289870.8134,0,0,275000,88000,658000,21000,155000,0,95000,2343000
"X18665",6813.5821937,45,14,53451.355662,0,5000,0,0,103000,20300,57000,0,63000,180300
"X19580",8548.9431728,29,14,98679.425837,32800,20000,0,20000,192800,44000,37000,1200,72900,240100
"X20130",8003.3653786,32,14,45228.070175,500,1700,10000,2500,16200,26600,6000,0,101100,36700
"X10325",4593.482411,25,15,23641.945774,2300,3420,0,0,5720,6600,0,0,6500,5820
"X4130",3284.932555,35,16,122321.37161,6000,5000,110000,0,798780,23000,72000,0,166000,1403780
