"","Previous","Movie","Distributor","Genre","Gross","Change","Theaters","TotalGross","Days","weekend"
"613",NA,"Unknown","Warner Bros.","Thriller/Suspense",21856389,NA,3043,21856389,"3","2011-02-18"
"614",NA,"I am Number Four","Walt Disney","Adventure",19449893,NA,3154,19449893,"3","2011-02-18"
"615",3,"Gnomeo and Juliet","Walt Disney","Comedy",19154010,-24,3014,50174542,"10","2011-02-18"
"616",1,"Just Go With It","Sony Pictures","Romantic Comedy",18478226,-39,3548,61034190,"10","2011-02-18"
"617",NA,"Big Mommas: Like Father, Like Son","20th Century Fox","Comedy",16300803,NA,2821,16300803,"3","2011-02-18"
"618",2,"Justin Bieber: Never Say Never","Paramount Pictures","Concert/Performance",13307933,-55,3118,48180682,"12","2011-02-18"
"619",6,"The King's Speech","Weinstein Co.","Drama",6529530,-10,2086,103241506,"87","2011-02-18"
"620",5,"The Roommate","Sony Pictures","Thriller/Suspense",3909742,-52,2160,32503306,"17","2011-02-18"
"621",4,"The Eagle","Focus Features","Action",3645485,-58,2296,15152683,"10","2011-02-18"
"622",7,"No Strings Attached","Paramount Pictures","Romantic Comedy",3080033,-47,1966,65993320,"31","2011-02-18"
"623",9,"True Grit","Paramount Pictures","Western",2410521,-36,1465,164128024,"61","2011-02-18"
"624",8,"Sanctum","Universal","Adventure",1638615,-71,1377,21947400,"17","2011-02-18"
"625",13,"The Fighter","Paramount Pictures","Drama",1567302,-28,759,87978800,"73","2011-02-18"
"626",10,"The Green Hornet","Sony Pictures","Action",1524622,-59,1265,95186908,"38","2011-02-18"
"627",14,"Black Swan","Fox Searchlight","Thriller/Suspense",1327788,-37,656,101536863,"80","2011-02-18"
"628",11,"The Rite","Warner Bros.","Horror",1130106,-65,1048,31392491,"24","2011-02-18"
"629",12,"The Mechanic","CBS Films","Action",1003330,-69,952,27886023,"24","2011-02-18"
"630",31,"Cedar Rapids","Fox Searchlight","Comedy",910448,201,102,1311926,"10","2011-02-18"
"631",24,"Barney's Version","Sony Pictures Classics","Drama",746699,71,322,4465136,"52","2011-02-18"
"632",19,"Biutiful","Roadside Attractions","Drama",537413,-7,156,3037464,"54","2011-02-18"
"633",16,"Tangled","Walt Disney","Adventure",534351,-34,389,194097938,"89","2011-02-18"
"634",17,"Yogi Bear 3D","Warner Bros.","Adventure",464644,-40,725,97283217,"66","2011-02-18"
"635",21,"Tron: Legacy","Walt Disney","Adventure",452223,-18,312,170441511,"66","2011-02-18"
"636",23,"Harry Potter and the Deathly Hallows: Part I","Warner Bros.","Adventure",359045,-23,321,293901794,"94","2011-02-18"
"637",18,"Blue Valentine","Weinstein Co.","Drama",330177,-44,235,8829644,"54","2011-02-18"
"638",20,"127 Hours","Fox Searchlight","Drama",319289,-43,240,17412209,"108","2011-02-18"
"639",22,"The Company Men","Weinstein Co.","Drama",298763,-42,242,3526033,"31","2011-02-18"
"640",33,"The Chronicles of Narnia: The Voyage of the Dawn Treader","20th Century Fox","Adventure",286118,NA,264,103375517,"73","2011-02-18"
"641",32,"2011 Oscar Shorts","Shorts International","Multiple Genres",284284,-5,108,722494,"10","2011-02-18"
"642",28,"Megamind","Paramount Pictures","Adventure",272032,-16,214,148244405,"108","2011-02-18"
"643",26,"Little Fockers","Universal","Comedy",266470,-23,285,147635660,"61","2011-02-18"
"644",27,"Another Year","Sony Pictures Classics","Drama",206934,-37,121,2487912,"54","2011-02-18"
"645",42,"The Tourist","Sony Pictures","Thriller/Suspense",202309,154,224,67239128,"73","2011-02-18"
"646",34,"Gulliver's Travels","20th Century Fox","Comedy",190367,-11,235,42174275,"61","2011-02-18"
"647",30,"The Illusionist","Sony Pictures Classics","Adventure",188494,-38,106,1467789,"58","2011-02-18"
"648",15,"The Dilemma","Universal","Comedy",176660,-83,293,48221740,"38","2011-02-18"
"649",36,"Hubble 3D","Warner Bros.","Documentary",176108,24,50,21746356,"339","2011-02-18"
"650",NA,"Saat Khoon Maaf","UTV Communications","",164153,NA,65,164153,"3","2011-02-18"
"651",25,"Patiala House","Tachyon","Drama",123543,-64,71,470820,"10","2011-02-18"
"652",29,"From Prada to Nada","Lionsgate","Romantic Comedy",93155,-70,128,2810491,"24","2011-02-18"
"653",38,"The Social Network","Sony Pictures","Drama",88432,-34,113,96760021,"143","2011-02-18"
"654",NA,"Under the Sea 3D","Warner Bros.","Documentary",74071,NA,17,27156426,"738","2011-02-18"
"655",39,"Unstoppable","20th Century Fox","Action",68105,-38,105,81468670,"101","2011-02-18"
"656",41,"Rabbit Hole","Lionsgate","Drama",56680,-34,78,1974842,"66","2011-02-18"
"657",37,"MOOZ-lum","Peace Film LLC","Drama",54735,-61,17,214135,"10","2011-02-18"
"658",NA,"Even the Rain","Vitagraph Films","",53730,NA,8,53730,"3","2011-02-18"
"659",NA,"The Last Lions","National Geographic Entertainment","Documentary",53344,NA,4,53344,"3","2011-02-18"
"660",48,"Space Station","IMAX Films","Documentary",39304,88,5,82809420,"3,230","2011-02-18"
"661",44,"Somewhere","Focus Features","Drama",33566,-7,29,1723504,"61","2011-02-18"
"662",40,"Season of the Witch","Relativity","Thriller/Suspense",33293,-65,132,24529487,"45","2011-02-18"
"663",45,"Inside Job","Sony Pictures Classics","Documentary",23523,-12,24,3969891,"136","2011-02-18"
"664",51,"Poetry","Kino International","Drama",21898,16,3,50281,"10","2011-02-18"
"665",50,"Winter's Bone","Roadside Attractions","Drama",17713,-8,20,6421490,"255","2011-02-18"
"666",NA,"Sea Rex 3D","3D Entertainment","Documentary",16874,NA,12,1152771,"52","2011-02-18"
"667",56,"Vidal Sassoon The Movie","Phase 4 Films","Documentary",16123,24,2,34194,"10","2011-02-18"
"668",43,"The Way Back","Newmarket Films","Adventure",14912,-62,15,2673854,"31","2011-02-18"
"669",68,"The Housemaid","IFC Films","Thriller/Suspense",14704,198,6,87425,"31","2011-02-18"
"670",NA,"Immigration Tango","Roadside Attractions","Comedy",14432,NA,30,14432,"3","2011-02-18"
"671",60,"Galapagos","IMAX Films","Documentary",14040,62,3,17864404,"4,133","2011-02-18"
"672",NA,"The Chaperone","Samuel Goldwyn Films","Comedy",12700,NA,1,12700,"3","2011-02-18"
"673",63,"Kaboom","IFC Films","Comedy",11535,65,6,64021,"24","2011-02-18"
"674",NA,"I Am","Paladin","Documentary",10500,NA,1,10500,"3","2011-02-18"
"675",54,"Casino Jack","Samuel Goldwyn Films","Thriller/Suspense",10460,-31,12,949384,"66","2011-02-18"
"676",NA,"Deep Sea 3-D","Warner Bros.","Documentary",10026,NA,4,44030490,"1,816","2011-02-18"
"677",52,"Made in Dagenham","Sony Pictures Classics","Drama",8906,-51,15,1017246,"94","2011-02-18"
"678",57,"Cold Weather","IFC Films","Thriller/Suspense",8548,-34,3,46199,"17","2011-02-18"
"679",NA,"Brotherhood","Phase 4 Films","Thriller/Suspense",7873,NA,1,7873,"3","2011-02-18"
"680",53,"Carancho","Strand","Drama",7296,-54,4,30378,"10","2011-02-18"
"681",47,"Ip Man 2: Legend of the Grand Master","Variance Films","Action",7187,-66,7,167738,"24","2011-02-18"
"682",97,"Phil Ochs","First Run Features","Documentary",6857,611,3,90784,"47","2011-02-18"
"683",49,"What Women Want","China Lion Film Distribution","Comedy",5523,-73,3,117893,"17","2011-02-18"
"684",65,"Waste Land","Arthouse Films","Documentary",5351,-17,4,154235,"115","2011-02-18"
"685",58,"I Love You Phillip Morris","Roadside Attractions","Comedy",5101,-46,9,1946137,"80","2011-02-18"
"686",NA,"Sons of Perdition","","Documentary",5053,NA,1,5053,"3","2011-02-18"
"687",NA,"Putty Hill","Cinema Guild","Drama",4868,NA,1,4868,"3","2011-02-18"
"688",NA,"The Salvation Poem","CanZion Films","",4757,NA,4,593157,"129","2011-02-18"
"689",59,"Orgasm Inc","First Run Features","Documentary",4399,-50,3,18501,"10","2011-02-18"
"690",91,"When We Leave","Olive Films","Drama",4028,180,1,18918,"24","2011-02-18"
"691",NA,"Zero Bridge","The Film Desk","Drama",3927,NA,1,5244,"5","2011-02-18"
"692",70,"All Good Things","Magnolia Pictures","Drama",3662,-13,4,537342,"80","2011-02-18"
"693",73,"Queen of the Lot","Rainbow Releasing","Drama",3186,-12,3,158233,"94","2011-02-18"
"694",NA,"The Cremaster Cycle","International Film Circuit","Drama",3011,NA,1,146019,"318","2011-02-18"
"695",103,"The Other Woman","IFC Films","Comedy",2982,328,5,14089,"17","2011-02-18"
"696",NA,"Vanishing on Seventh Street","Magnet Pictures","Thriller/Suspense",2898,NA,1,2898,"3","2011-02-18"
"697",69,"Oy Vey! My Son is Gay!","","",2605,-42,1,87154,"59","2011-02-18"
"698",67,"Tiny Furniture","IFC Films","Comedy",2513,-49,6,389334,"101","2011-02-18"
"699",99,"Enemies of the People","International Film Circuit","Documentary",2400,170,4,65263,"206","2011-02-18"
"700",85,"Bhutto","First Run Features","Documentary",1941,-8,3,86491,"80","2011-02-18"
"701",93,"Four Lions","Drafthouse Films","Black Comedy",1909,47,6,303824,"108","2011-02-18"
"702",66,"Vision","Zeitgeist","Drama",1667,-72,2,408133,"131","2011-02-18"
"703",81,"Every Day","Image Entertainment","Drama",1566,-37,2,30648,"38","2011-02-18"
"704",83,"My Dog Tulip","New Yorker","Drama",1550,-29,1,208965,"173","2011-02-18"
"705",87,"Marwencol","","Documentary",1516,-19,3,97237,"136","2011-02-18"
"706",NA,"Now & Later","Cinema Libre","Drama",1516,NA,1,1516,"3","2011-02-18"
"707",79,"The Time That Remains","IFC Films","Drama",1362,-47,2,31788,"45","2011-02-18"
"708",84,"What If...","Five & Two Pictures","",1272,-42,1,814348,"185","2011-02-18"
"709",98,"Kings of Pastry","First Run Features","Documentary",1257,36,1,311953,"159","2011-02-18"
"710",92,"The Strange Case of Angelica","Cinema Guild","Drama",1134,-16,1,36286,"52","2011-02-18"
"711",95,"Battleship Potemkin","Kino International","",1048,-12,1,18030,"30,759","2011-02-18"
"712",104,"The Tempest","Miramax","Drama",844,38,3,263231,"73","2011-02-18"
"713",101,"The Robber","Kino International","Drama",807,NA,1,5306,"18","2011-02-18"
"714",64,"Get Low","Sony Pictures Classics","",793,-88,4,9176385,"206","2011-02-18"
"715",NA,"Millenium 3 - La reine du palais des courants d'air","Alliance Films","Thriller/Suspense",744,NA,2,5426691,"297","2011-02-18"
"716",100,"Night Catches Us","Magnolia Pictures","Drama",724,-10,4,75343,"80","2011-02-18"
"717",107,"Tamara Drewe","Sony Pictures Classics","Comedy",712,46,4,559556,"136","2011-02-18"
"718",89,"Animal Kingdom","Sony Pictures Classics","Drama",450,-74,2,1040952,"192","2011-02-18"
"719",74,"Dogtooth","Kino International","Drama",339,-91,1,105168,"241","2011-02-18"
"720",110,"Mesrine: Killer Instinct","Music Box Films","Drama",322,-9,1,551531,"178","2011-02-18"
"721",105,"Strange Powers: Stephin Merritt and the Magnetic Fields","Variance Films","Documentary",252,-55,2,66043,"115","2011-02-18"
"722",75,"Raymond Did It","Plastic Age Productions","Horror",225,-93,1,3417,"10","2011-02-18"
"723",NA,"Millenium - Le Film","Alliance Films","Thriller/Suspense",137,NA,1,12749992,"339","2011-02-18"
"724",113,"Nenette","Kino International","Documentary",120,-35,1,14227,"61","2011-02-18"
"725",76,"Rage","Strand","Thriller/Suspense",59,-98,1,5414,"24","2011-02-18"
"726",NA,"Hall Pass","Warner Bros.","Comedy",13535374,NA,2950,13535374,"3","2011-02-25"
"727",3,"Gnomeo and Juliet","Walt Disney","Comedy",13400130,-30,3037,74334236,"17","2011-02-25"
"728",1,"Unknown","Warner Bros.","Thriller/Suspense",12571282,-42,3043,42976450,"10","2011-02-25"
"729",2,"I am Number Four","Walt Disney","Adventure",11016126,-43,3156,37723940,"10","2011-02-25"
"730",4,"Just Go With It","Sony Pictures","Romantic Comedy",10532244,-43,3544,78787066,"17","2011-02-25"
"731",6,"Justin Bieber: Never Say Never","Paramount Pictures","Concert/Performance",9387250,-29,2810,62963741,"19","2011-02-25"
"732",5,"Big Mommas: Like Father, Like Son","20th Century Fox","Comedy",7623276,-53,2821,28647519,"10","2011-02-25"
"733",7,"The King's Speech","Weinstein Co.","Drama",7339759,12,2385,114231030,"94","2011-02-25"
"734",NA,"Drive Angry","Summit Entertainment","Action",5187625,NA,2290,5187625,"3","2011-02-25"
"735",11,"True Grit","Paramount Pictures","Western",1947092,-19,1222,167132442,"68","2011-02-25"
"736",8,"The Roommate","Sony Pictures","Thriller/Suspense",1940609,-50,1726,35818227,"24","2011-02-25"
"737",9,"The Eagle","Focus Features","Action",1587177,-56,1568,18341824,"17","2011-02-25"
"738",13,"The Fighter","Paramount Pictures","Drama",1576103,1,668,90369463,"80","2011-02-25"
"739",10,"No Strings Attached","Paramount Pictures","Romantic Comedy",1450649,-53,1366,68760038,"38","2011-02-25"
"740",15,"Black Swan","Fox Searchlight","Thriller/Suspense",1327844,NA,617,103576418,"87","2011-02-25"
"741",NA,"The Grace Card","Samuel Goldwyn Films","Drama",1010299,NA,352,1010299,"3","2011-02-25"
"742",18,"Cedar Rapids","Fox Searchlight","Comedy",664730,-27,136,2349996,"17","2011-02-25"
"743",14,"The Green Hornet","Sony Pictures","Action",663895,-56,667,96637321,"45","2011-02-25"
"744",19,"Barney's Version","Sony Pictures Classics","Drama",568751,-24,299,5387947,"59","2011-02-25"
"745",16,"The Rite","Warner Bros.","Horror",479351,-58,545,32310529,"31","2011-02-25"
"746",20,"Biutiful","Roadside Attractions","Drama",449059,-16,182,3772377,"61","2011-02-25"
"747",21,"Tangled","Walt Disney","Adventure",421474,-21,337,194881262,"96","2011-02-25"
"748",12,"Sanctum","Universal","Adventure",358515,-78,392,23070045,"24","2011-02-25"
"749",23,"Tron: Legacy","Walt Disney","Adventure",330462,-27,276,170999943,"73","2011-02-25"
"750",17,"The Mechanic","CBS Films","Action",322039,-68,404,28677719,"31","2011-02-25"
"751",NA,"Of Gods and Men","Sony Pictures Classics","Drama",308895,NA,33,308895,"3","2011-02-25"
"752",26,"127 Hours","Fox Searchlight","Drama",301367,-6,220,17915448,"115","2011-02-25"
"753",22,"Yogi Bear 3D","Warner Bros.","Adventure",247874,-47,366,97857393,"73","2011-02-25"
"754",24,"Harry Potter and the Deathly Hallows: Part I","Warner Bros.","Adventure",239617,-33,303,294325810,"101","2011-02-25"
"755",31,"Little Fockers","Universal","Comedy",234770,-12,261,147980230,"68","2011-02-25"
"756",28,"The Chronicles of Narnia: The Voyage of the Dawn Treader","20th Century Fox","Adventure",234241,-18,248,103777017,"80","2011-02-25"
"757",27,"The Company Men","Weinstein Co.","Drama",215434,-28,185,3880639,"38","2011-02-25"
"758",29,"2011 Oscar Shorts","Shorts International","Multiple Genres",211115,-26,117,1104876,"17","2011-02-25"
"759",25,"Blue Valentine","Weinstein Co.","Drama",209786,-36,167,9224011,"61","2011-02-25"
"760",34,"Gulliver's Travels","20th Century Fox","Comedy",156440,-18,204,42439638,"68","2011-02-25"
"761",35,"The Illusionist","Sony Pictures Classics","Adventure",148769,-21,125,1725536,"65","2011-02-25"
"762",37,"Hubble 3D","Warner Bros.","Documentary",147645,-16,50,22058976,"346","2011-02-25"
"763",33,"The Tourist","Sony Pictures","Thriller/Suspense",141477,-30,194,67483185,"80","2011-02-25"
"764",36,"The Dilemma","Universal","Comedy",139725,-21,243,48430355,"45","2011-02-25"
"765",32,"Another Year","Sony Pictures Classics","Drama",134859,-35,107,2733329,"61","2011-02-25"
"766",41,"The Social Network","Sony Pictures","Drama",109956,24,269,96917897,"150","2011-02-25"
"767",51,"Season of the Witch","Relativity","Thriller/Suspense",102987,209,171,24648106,"52","2011-02-25"
"768",56,"Sea Rex 3D","3D Entertainment","Documentary",95141,464,13,1307371,"59","2011-02-25"
"769",55,"Winter's Bone","Roadside Attractions","Drama",71647,304,135,6502610,"262","2011-02-25"
"770",42,"Under the Sea 3D","Warner Bros.","Documentary",68963,-7,18,27299170,"745","2011-02-25"
"771",47,"Even the Rain","Vitagraph Films","",64788,21,16,146838,"10","2011-02-25"
"772",40,"From Prada to Nada","Lionsgate","Romantic Comedy",56600,-39,81,2905525,"31","2011-02-25"
"773",45,"MOOZ-lum","Peace Film LLC","Drama",53169,-3,25,284571,"17","2011-02-25"
"774",44,"Rabbit Hole","Lionsgate","Drama",53034,-6,83,2063107,"73","2011-02-25"
"775",38,"Saat Khoon Maaf","UTV Communications","",44955,-73,68,253274,"10","2011-02-25"
"776",43,"Unstoppable","20th Century Fox","Action",35627,-48,66,81528421,"108","2011-02-25"
"777",49,"Space Station","IMAX Films","Documentary",35216,-10,3,82906844,"3,237","2011-02-25"
"778",52,"Inside Job","Sony Pictures Classics","Documentary",33568,43,53,4019203,"143","2011-02-25"
"779",48,"The Last Lions","National Geographic Entertainment","Documentary",27035,-49,4,117190,"10","2011-02-25"
"780",50,"Somewhere","Focus Features","Drama",25907,-23,27,1768416,"68","2011-02-25"
"781",53,"Poetry","Kino International","Drama",19873,-9,6,76411,"17","2011-02-25"
"782",64,"I Am","Paladin","Documentary",19297,84,2,32750,"10","2011-02-25"
"783",58,"The Way Back","Newmarket Films","Adventure",13275,-11,15,2695671,"38","2011-02-25"
"784",68,"Cold Weather","IFC Films","Thriller/Suspense",12712,49,4,63208,"24","2011-02-25"
"785",65,"Casino Jack","Samuel Goldwyn Films","Thriller/Suspense",12469,19,17,967678,"73","2011-02-25"
"786",61,"Galapagos","IMAX Films","Documentary",12002,-15,2,17886603,"4,140","2011-02-25"
"787",63,"Kaboom","IFC Films","Comedy",9003,-22,11,79059,"31","2011-02-25"
"788",74,"Waste Land","Arthouse Films","Documentary",9001,68,6,169215,"122","2011-02-25"
"789",59,"The Housemaid","IFC Films","Thriller/Suspense",8803,-40,7,103773,"38","2011-02-25"
"790",69,"Brotherhood","Phase 4 Films","Thriller/Suspense",8445,7,2,17960,"10","2011-02-25"
"791",NA,"The Wildest Dream","National Geographic Entertainment","Documentary",7880,NA,3,743944,"206","2011-02-25"
"792",NA,"Journal d'un cur de campagne","Rialto Pictures","Drama",7674,NA,1,7674,"21,936","2011-02-25"
"793",NA,"Heartless","","Drama",7197,NA,1,7197,"262","2011-02-25"
"794",86,"Vanishing on Seventh Street","Magnet Pictures","Thriller/Suspense",6962,140,6,11633,"10","2011-02-25"
"795",57,"Vidal Sassoon The Movie","Phase 4 Films","Documentary",6656,-59,3,49339,"17","2011-02-25"
"796",75,"I Love You Phillip Morris","Roadside Attractions","Comedy",6537,28,15,6537,"87","2011-02-25"
"797",92,"Vision","Zeitgeist","Drama",6505,290,3,415422,"138","2011-02-25"
"798",NA,"Public Speaking","Rialto Pictures","Documentary",6260,NA,1,11000,"5","2011-02-25"
"799",66,"Deep Sea 3-D","Warner Bros.","Documentary",5116,-49,2,44039024,"1,823","2011-02-25"
"800",71,"Ip Man 2: Legend of the Grand Master","Variance Films","Action",4610,-36,6,176453,"31","2011-02-25"
"801",67,"Made in Dagenham","Sony Pictures Classics","Drama",4562,-49,10,1031140,"101","2011-02-25"
"802",78,"The Salvation Poem","CanZion Films","",4336,-9,4,599212,"136","2011-02-25"
"803",NA,"Sea Monsters: A Prehistoric Adventure","National Geographic Entertainment","Documentary",4224,NA,2,23534728,"1,242","2011-02-25"
"804",85,"The Other Woman","IFC Films","Comedy",3936,32,9,20585,"24","2011-02-25"
"805",NA,"A Somewhat Gentle Man","Strand","Black Comedy",3644,NA,2,13272,"45","2011-02-25"
"806",94,"My Dog Tulip","New Yorker","Drama",3389,119,2,213560,"180","2011-02-25"
"807",82,"All Good Things","Magnolia Pictures","Drama",3205,-12,4,542918,"87","2011-02-25"
"808",70,"Carancho","Strand","Drama",3008,-59,1,37531,"17","2011-02-25"
"809",72,"Phil Ochs","First Run Features","Documentary",2777,-60,2,98217,"54","2011-02-25"
"810",93,"Every Day","Image Entertainment","Drama",2728,74,2,34293,"45","2011-02-25"
"811",91,"Four Lions","Drafthouse Films","Black Comedy",2070,8,1,306686,"115","2011-02-25"
"812",89,"Enemies of the People","International Film Circuit","Documentary",1839,-23,2,67949,"213","2011-02-25"
"813",114,"Nenette","Kino International","Documentary",1686,1305,2,15913,"68","2011-02-25"
"814",81,"Zero Bridge","The Film Desk","Drama",1663,-58,1,8247,"12","2011-02-25"
"815",77,"Putty Hill","Cinema Guild","Drama",1468,-70,1,7972,"10","2011-02-25"
"816",NA,"Undertow","The Film Collaborative","Drama",1356,NA,1,102159,"164","2011-02-25"
"817",87,"Oy Vey! My Son is Gay!","","",1183,-55,1,89016,"66","2011-02-25"
"818",60,"Immigration Tango","Roadside Attractions","Comedy",1087,-92,2,23812,"10","2011-02-25"
"819",73,"What Women Want","China Lion Film Distribution","Comedy",1017,-82,1,122073,"24","2011-02-25"
"820",NA,"The Woodmans","Lorber Films","Documentary",917,NA,2,31557,"40","2011-02-25"
"821",109,"Dogtooth","Kino International","Drama",917,171,2,106573,"248","2011-02-25"
"822",105,"Millenium 3 - La reine du palais des courants d'air","Alliance Films","Thriller/Suspense",892,20,3,5427683,"304","2011-02-25"
"823",96,"Marwencol","","Documentary",629,-59,1,99114,"143","2011-02-25"
"824",NA,"Every Man for Himself","The Film Desk","Drama",554,NA,1,40624,"11,096","2011-02-25"
"825",NA,"The Girlfriends","The Film Desk","Drama",520,NA,1,56024,"20,512","2011-02-25"
"826",NA,"The Taqwacores","Strand","Drama",443,NA,1,9790,"129","2011-02-25"
"827",111,"Strange Powers: Stephin Merritt and the Magnetic Fields","Variance Films","Documentary",401,59,1,66444,"122","2011-02-25"
"828",108,"Animal Kingdom","Sony Pictures Classics","Drama",336,-25,1,1041723,"199","2011-02-25"
"829",NA,"Nine Nation Animation","The World According to Shorts","Multiple Genres",334,NA,1,20555,"152","2011-02-25"
"830",79,"Orgasm Inc","First Run Features","Documentary",198,-95,1,21365,"17","2011-02-25"
"831",110,"Mesrine: Killer Instinct","Music Box Films","Drama",129,-60,1,551660,"185","2011-02-25"
"832",NA,"Promised Lands","The Film Desk","",112,NA,1,4261,"13,208","2011-02-25"
"833",NA,"Rango","Paramount Pictures","Adventure",38079323,NA,3917,38079323,"3","2011-03-04"
"834",NA,"The Adjustment Bureau","Universal","Thriller/Suspense",21157730,NA,2840,21157730,"3","2011-03-04"
"835",NA,"Beastly","CBS Films","Drama",9851102,NA,1952,9851102,"3","2011-03-04"
"836",1,"Hall Pass","Warner Bros.","Comedy",8861053,-35,2950,26846808,"10","2011-03-04"
"837",2,"Gnomeo and Juliet","Walt Disney","Comedy",7240315,-46,2984,84022325,"24","2011-03-04"
"838",3,"Unknown","Warner Bros.","Thriller/Suspense",6520232,-48,2913,53029496,"17","2011-03-04"
"839",5,"Just Go With It","Sony Pictures","Romantic Comedy",6431246,-39,2920,88131316,"24","2011-03-04"
"840",8,"The King's Speech","Weinstein Co.","Drama",6230227,-15,2240,123546104,"101","2011-03-04"
"841",4,"I am Number Four","Walt Disney","Adventure",5750190,-48,2903,46488606,"17","2011-03-04"
"842",6,"Justin Bieber: Never Say Never","Paramount Pictures","Concert/Performance",4277128,-54,2254,68828539,"26","2011-03-04"
"843",NA,"Take Me Home Tonight","Relativity","Comedy",3464679,NA,2003,3464679,"3","2011-03-04"
"844",7,"Big Mommas: Like Father, Like Son","20th Century Fox","Comedy",3281157,-57,1642,33250835,"17","2011-03-04"
"845",9,"Drive Angry","Summit Entertainment","Action",2225659,-57,2290,9103951,"10","2011-03-04"
"846",13,"The Fighter","Paramount Pictures","Drama",1163695,-26,575,92037546,"87","2011-03-04"
"847",15,"Black Swan","Fox Searchlight","Thriller/Suspense",1012346,-24,681,105118886,"94","2011-03-04"
"848",10,"True Grit","Paramount Pictures","Western",975388,-50,725,168681088,"75","2011-03-04"
"849",17,"Cedar Rapids","Fox Searchlight","Comedy",821124,24,235,3391035,"24","2011-03-04"
"850",22,"Tangled","Walt Disney","Adventure",790248,87,421,195784588,"103","2011-03-04"
"851",11,"The Roommate","Sony Pictures","Thriller/Suspense",585489,-70,606,36845772,"31","2011-03-04"
"852",16,"The Grace Card","Samuel Goldwyn Films","Drama",464774,-54,296,1697615,"10","2011-03-04"
"853",19,"Barney's Version","Sony Pictures Classics","Drama",402033,-29,215,5999298,"66","2011-03-04"
"854",14,"No Strings Attached","Paramount Pictures","Romantic Comedy",370321,-74,425,69659794,"45","2011-03-04"
"855",26,"Of Gods and Men","Sony Pictures Classics","Drama",279011,-10,42,818246,"10","2011-03-04"
"856",21,"Biutiful","Roadside Attractions","Drama",274256,-39,145,4232818,"68","2011-03-04"
"857",12,"The Eagle","Focus Features","Action",265380,-83,327,19143422,"24","2011-03-04"
"858",24,"Tron: Legacy","Walt Disney","Adventure",243434,-26,239,171363350,"80","2011-03-04"
"859",28,"Yogi Bear 3D","Warner Bros.","Adventure",228330,-8,266,98153681,"80","2011-03-04"
"860",18,"The Green Hornet","Sony Pictures","Action",217521,-67,269,97037591,"52","2011-03-04"
"861",30,"Little Fockers","Universal","Comedy",177905,-24,221,148219535,"75","2011-03-04"
"862",29,"Harry Potter and the Deathly Hallows: Part I","Warner Bros.","Adventure",158423,-34,208,294562162,"108","2011-03-04"
"863",20,"The Rite","Warner Bros.","Horror",157972,-67,201,32622519,"38","2011-03-04"
"864",31,"The Chronicles of Narnia: The Voyage of the Dawn Treader","20th Century Fox","Adventure",151178,-35,185,103994954,"87","2011-03-04"
"865",37,"Hubble 3D","Warner Bros.","Documentary",133258,-10,49,22283221,"353","2011-03-04"
"866",27,"127 Hours","Fox Searchlight","Drama",122976,-59,135,18136899,"122","2011-03-04"
"867",35,"Gulliver's Travels","20th Century Fox","Comedy",99350,-36,156,42572639,"75","2011-03-04"
"868",34,"Blue Valentine","Weinstein Co.","Drama",95826,-54,96,9408652,"68","2011-03-04"
"869",32,"The Company Men","Weinstein Co.","Drama",94750,-56,112,4057439,"45","2011-03-04"
"870",38,"The Tourist","Sony Pictures","Thriller/Suspense",91513,-35,142,67631157,"87","2011-03-04"
"871",40,"Another Year","Sony Pictures Classics","Drama",85335,-37,66,2901263,"68","2011-03-04"
"872",36,"The Illusionist","Sony Pictures Classics","Adventure",80212,-46,76,1867838,"72","2011-03-04"
"873",NA,"Arthur et la vengeance de Maltazard","Alliance Films","Adventure",75268,NA,55,347136,"10","2011-03-04"
"874",43,"Sea Rex 3D","3D Entertainment","Documentary",70973,-25,13,1457229,"66","2011-03-04"
"875",53,"Inside Job","Sony Pictures Classics","Documentary",68431,104,42,4121153,"150","2011-03-04"
"876",25,"The Mechanic","CBS Films","Action",68389,-79,109,28880534,"38","2011-03-04"
"877",33,"2011 Oscar Shorts","Shorts International","Multiple Genres",61101,-71,44,1240525,"24","2011-03-04"
"878",54,"The Last Lions","National Geographic Entertainment","Documentary",59589,120,14,184560,"17","2011-03-04"
"879",45,"Under the Sea 3D","Warner Bros.","Documentary",56988,-17,17,27381671,"752","2011-03-04"
"880",42,"Season of the Witch","Relativity","Thriller/Suspense",56965,-45,109,24744416,"59","2011-03-04"
"881",46,"Even the Rain","Vitagraph Films","",55987,-14,19,230073,"17","2011-03-04"
"882",NA,"Tanu Weds Manu","Viva Entertainment","Comedy",50595,NA,23,170293,"10","2011-03-04"
"883",56,"Poetry","Kino International","Drama",41736,110,12,126311,"24","2011-03-04"
"884",NA,"HappyThankYouMorePlease","Anchor Bay Entertainment","Romantic Comedy",35063,NA,2,35063,"3","2011-03-04"
"885",57,"I Am","Paladin","Documentary",31904,65,5,70196,"17","2011-03-04"
"886",49,"Rabbit Hole","Lionsgate","Drama",28738,-46,55,2119973,"80","2011-03-04"
"887",52,"Space Station","IMAX Films","Documentary",27517,-22,5,82966770,"3,244","2011-03-04"
"888",48,"MOOZ-lum","Peace Film LLC","Drama",27511,-48,20,330048,"24","2011-03-04"
"889",NA,"Uncle Boonmee","Strand","Drama",23540,NA,4,23540,"3","2011-03-04"
