"","X","base_salary","cash_bonus_past","option_awards","cash_bonus","sic_code","company_name","perks_others","symbol","amount","location","industry","fy_end_revenue","empty","stock_awards_past","cash_compensation_past","total_return","rank_change","notes","fy_end_mkt_cap","rank_profit","change","batch","company_name_ticker","net_income","option_awards_past","perks_others_past","nyt","company_display_name","empty_0","amount_past","empty_2","fy_end","fy_end_net_income","empty_4","base_salary_past","chief_executive","stock_awards","rank_pay","revenues","rank_revenue","rank_total","cash_compensation","ticker"
"67",67,1562508,4934935,10780000,5049988,3531,"CATERPILLAR INC",345580,"",17738076,"PEORIA IL","Industrial Goods",65875,NA,0,6511942,2,65,"",58699,65,20,41274,"Caterpillar (CAT)",15,8309208,147501,NA,"Caterpillar (CAT)",NA,14821150,NA,"31-Dec",5681,NA,1429506,"Douglas R. Oberhelman",0,67,10,27,160,6958076,"CAT"
"68",68,1250000,4e+06,0,4e+06,6798,"SIMON PROPERTY GROUP INC /DE/",15491,"",17222911,"INDIANAPOLIS IN","Financial",4880,NA,131939768,5226777,26,168,"",49589,30,-87,41274,"Simon Property Group (SPG)",40,0,15239,NA,"Simon Property Group (SPG)",NA,137166545,NA,"31-Dec",1431,NA,1211538,"David Simon",11957420,68,13,154,80,5265491,"SPG"
"69",69,1e+06,4308750,3102450,6772500,3572,"WESTERN DIGITAL CORP",41770," ",17220878,"IRVINE CA","Technology",12478,NA,0,5330846,-16,17,"CHIEF EXECUTIVE: Mr. Coyne left the CEO position on January 2 2013.",7537,12,146,41090,"Western Digital (WDC)",122,1676928,43250,NA,"Western Digital (WDC)",NA,7007774,NA,"30-Jun",1612,NA,978846,"John F. Coyne",6304158,69,31,109,193,7814270,"WDC"
"70",70,1080769,0,0,1227600,5651,"CHILDRENS PLACE RETAIL STORES INC",136547,"",17212902,"SECAUCUS NJ","Services",1809,NA,9999978,1125485,0,30,"",1148,147,55,41305,"Children's Place Retail Stores (PLCE)",-15,0,125485,NA,"Children's Place Retail Stores (PLCE)",NA,11125463,NA,"31-Jan",63,NA,1e+06,"Jane T. Elfers",14767986,70,5,193,165,2444916,"PLCE"
"71",71,1250000,7210938,5164373,6617188,4841,"TIME WARNER CABLE INC.",512813,"",17211478,"NEW YORK NY","Services",21386,NA,3177333,8900394,56,100,"STOCK OPTION GAINS: Excludes shares acquired by the exercise of options to purchase shares of Time Warner which was the company Time Warner Cable spun-off from in March 2009.",28721,37,5,41274,"Time Warner Cable (TWC)",29,4244191,439456,NA,"Time Warner Cable (TWC)",NA,16321918,NA,"31-Dec",2155,NA,1250000,"Glenn A. Britt",3667104,71,9,77,23,8380001,"TWC"
"72",72,1530000,7182000,2602894,6400000,1389,"HALLIBURTON CO",1606845,"",17194889,"HOUSTON TX","Basic Materials",28503,NA,3912700,10055970,2,90,"",32325,145,10,41274,"Halliburton (HAL)",-14,1719828,1443970,NA,"Halliburton (HAL)",NA,15688498,NA,"31-Dec",2577,NA,1430000,"David J. Lesar",5055150,72,15,64,162,9536845,"HAL"
"73",73,1352400,6041500,3059041,6274944,3523,"DEERE & CO",438972,"",17147913,"MOLINE IL","Industrial Goods",36157,NA,6100913,7542380,15,109,"",33140,79,3,41213,"Deere (DE)",9,2925996,245880,NA,"Deere (DE)",NA,16569289,NA,"31-Oct",3064,NA,1255000,"Samuel R. Allen",6022556,73,13,52,115,8066316,"DE"
"74",74,1750000,4750000,3028080,4e+06,1311,"APACHE CORP",1537783,"",17091304,"HOUSTON TX","Basic Materials",17078,NA,5731487,7614535,-13,99,"",30753,175,7,41274,"Apache (APA)",-57,2610154,1114535,NA,"Apache (APA)",NA,15956176,NA,"31-Dec",1925,NA,1750000,"G. Steven Farris",6775441,74,1,87,187,7287783,"APA"
"75",75,450000,0,0,1495413,3714,"VISTEON CORP",111505,"*",17046075,"VAN BUREN TOWNSHIP MI","Consumer Goods",6857,NA,0,0,8,0,"CHIEF EXECUTIVE: Mr. Leuliette became Interim CEO on August 10 2012 and CEO on September 30 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",2795,160,0,41274,"Visteon (VC)",-24,0,0,NA,"Visteon (VC)",NA,0,NA,"31-Dec",103,NA,0,"Timothy D. Leuliette",14989157,75,-9,140,143,2056918,"VC"
"76",76,975000,1951000,0,750,1311,"CHESAPEAKE ENERGY CORP",721025," ",16901445,"OKLAHOMA CITY OK","Basic Materials",12316,NA,13627556,4254441,-24,134,"CHIEF EXECUTIVE: Mr. McClendon left the CEO position on April 1 2013.",11095,0,-5,41274,"Chesapeake Energy (CHK)",NA,0,1328441,NA,"Chesapeake Energy (CHK)",NA,17881997,NA,"31-Dec",NA,NA,975000,"Aubrey K. McClendon",15204670,76,6,110,197,1696775,"CHK"
"77",77,1301923,1813020,0,1847813,5331,"DOLLAR TREE INC",63670,"",16889790,"CHESAPEAKE VA","Services",7395,NA,3193858,2950558,-6,15,"",8981,43,175,41305,"Dollar Tree (DLTR)",27,0,56769,NA,"Dollar Tree (DLTR)",NA,6144416,NA,"31-Jan",619,NA,1080769,"Bob Sasser",13676384,77,12,133,177,3213406,"DLTR"
"78",78,1e+06,2e+06,0,3e+06,3312,"TITAN INTERNATIONAL INC",12836442,"",16836442,"QUINCY IL","Consumer Goods",1821,NA,0,2849829,12,3,"",1162,17,491,41274,"Titan International (TWI)",64,0,49829,NA,"Titan International (TWI)",NA,2849829,NA,"31-Dec",96,NA,8e+05,"Maurice M. Taylor Jr.",0,78,22,192,125,16836442,"TWI"
"79",79,1808333,1498114,4840080,1368640,2821,"DOW CHEMICAL CO /DE/",366055,"",16829279,"MIDLAND MI","Basic Materials",56786,NA,7659470,3503775,17,94,"",38937,177,8,41274,"Dow Chemical (DOW)",-65,4400095,263994,NA,"Dow Chemical (DOW)",NA,15563340,NA,"31-Dec",842,NA,1741667,"Andrew N. Liveris",8446171,79,-5,33,110,3543028,"DOW"
"80",80,940000,1443000,0,1833000,1311,"EOG RESOURCES INC",482798,"",16724459,"HOUSTON TX","Basic Materials",11683,NA,12074945,2739554,23,79,"",32824,172,13,41259,"EOG Resources (EOG)",-48,0,356554,NA,"EOG Resources (EOG)",NA,14814499,NA,"16-Dec",570,NA,940000,"Mark G. Papa",13468661,80,15,113,86,3255798,"EOG"
"81",81,1258667,0,1281873,2476200,2911,"CONOCOPHILLIPS",362458,"*",16720150,"HOUSTON TX","Basic Materials",62004,NA,0,0,7,0,"CHIEF EXECUTIVE: Mr. Lance became CEO on May 1 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.  STOCK OPTION GAINS: Excludes value of shares realized upon exercise of options of Phillips 66 which was spun-off from ConocoPhillips in April 2012.  TOTAL VALUE OF EQUITY HOLDINGS: Excludes outstanding options to purchase shares of Phillips 66 which was spun-off from ConocoPhillips in April 2012.",70805,102,0,41274,"ConocoPhillips (COP)",4,0,0,NA,"ConocoPhillips (COP)",NA,0,NA,"31-Dec",7413,NA,0,"Ryan M. Lance",11340952,81,-6,30,146,4097325,"COP"
"82",82,1e+06,4650000,4375002,5e+06,6411,"MARSH & MCLENNAN COMPANIES INC.",683324," ",16683382,"NEW YORK NY","Financial",11924,NA,4125001,6035944,12,70,"CHIEF EXECUTIVE: Mr. Duperreault left the CEO position on December 31 2012.",18902,48,17,41274,"Marsh & McLennan (MMC)",23,4125001,385944,NA,"Marsh & McLennan (MMC)",NA,14285946,NA,"31-Dec",1179,NA,1e+06,"Brian Duperreault",5625056,82,3,112,124,6683324,"MMC"
"83",83,1750000,6372980,6850780,3727500,4841,"CABLEVISION SYSTEMS CORP /NY",592715,"",16619175,"BETHPAGE NY","Services",6705,NA,2844680,8399103,9,36,"",3956,182,48,41274,"Cablevision Systems (CVC)",-86,0,276123,NA,"Cablevision Systems (CVC)",NA,11243783,NA,"31-Dec",33,NA,1750000,"James L. Dolan",3698180,83,0,141,135,6070215,"CVC"
"84",84,1414421,3e+06,0,3400000,3812,"RAYTHEON CO/",446160,"",16607326,"WALTHAM MA","Industrial Goods",24414,NA,10290873,4809250,23,86,"",18785,109,10,41274,"Raytheon (RTN)",2,0,439546,NA,"Raytheon (RTN)",NA,15100123,NA,"31-Dec",1889,NA,1369704,"William H. Swanson",11346745,84,-2,72,87,5260581,"RTN"
"85",85,1e+06,2140869,1310657,1467360,3572,"EMC CORP",116545,"",16592231,"HOPKINTON MA","Technology",21714,NA,8408713,3272392,17,53,"",53242,77,25,41274,"EMC (EMC)",11,1557752,131523,NA,"EMC (EMC)",NA,13238857,NA,"31-Dec",2723,NA,1e+06,"Joseph M. Tucci",12697669,85,9,76,105,2583905,"EMC"
"86",86,1974230,5143500,3825579,5346000,3714,"TRW AUTOMOTIVE HOLDINGS CORP",607094,"",16550577,"LIVONIA MI","Consumer Goods",16444,NA,5082740,7662392,64,87,"",6400,140,10,41274,"TRW Automotive (TRW)",-13,2320392,620815,NA,"TRW Automotive (TRW)",NA,15065524,NA,"31-Dec",1016,NA,1898077,"John C. Plant",4797674,86,1,88,18,7927324,"TRW"
"87",87,1800000,23300000,9289000,4800000,3714,"HONEYWELL INTERNATIONAL INC",389972,"",16278972,"MORRISTOWN NJ","Industrial Goods",37665,NA,0,25528499,20,166,"",49747,20,-54,41274,"Honeywell International (HON)",57,9726250,428499,NA,"Honeywell International (HON)",NA,35254749,NA,"31-Dec",2926,NA,1800000,"David M. Cote",0,87,3,47,97,6989972,"HON"
"88",88,950000,8025000,3204000,7546000,6282,"AMERIPRISE FINANCIAL INC",680721,"",16118721,"MINNEAPOLIS MN","Financial",10259,NA,3876000,9636137,29,141,"",12743,138,-7,41274,"Ameriprise Financial (AMP)",-12,3771000,661137,NA,"Ameriprise Financial (AMP)",NA,17283137,NA,"31-Dec",1031,NA,950000,"James M. Cracchiolo",3738000,88,0,120,67,9176721,"AMP"
"89",89,1453077,2900184,3922648,4279260,3841,"BAXTER INTERNATIONAL INC",9012,"",16012007,"DEERFIELD IL","Healthcare",14190,NA,5099681,4346133,38,56,"",36392,99,25,41274,"Baxter International (BAX)",5,3386214,37103,NA,"Baxter International (BAX)",NA,12832028,NA,"31-Dec",2326,NA,1408846,"Robert L. Parkinson Jr.",6348010,89,2,97,41,5741349,"BAX"
"90",90,1623077,4220340,0,3844864,2834,"BRISTOL MYERS SQUIBB CO",818078,"",16008023,"NEW YORK NY","Healthcare",17621,NA,7351673,6380375,-4,71,"",53361,171,17,41274,"Bristol-Myers Squibb (BMY)",-47,0,649843,NA,"Bristol-Myers Squibb (BMY)",NA,13732048,NA,"31-Dec",1960,NA,1510192,"Lamberto Andreotti",9722004,90,-17,84,172,6286019,"BMY"
"91",91,657692,0,9200004,669060,3561,"COLFAX CORP",18875,"*",15657001,"FULTON MD","Industrial Goods",3914,NA,0,0,42,0,"CHIEF EXECUTIVE: Mr. Simms became CEO on April 22 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",3796,0,0,41274,"Colfax (CFX)",NA,0,0,NA,"Colfax (CFX)",NA,0,NA,"31-Dec",NA,NA,0,"Steven E. Simms",5111370,91,464,167,36,1345627,"CFX"
"92",92,1500120,4027500,0,4117500,3812,"NORTHROP GRUMMAN CORP /DE/",1854690,"",15472321,"FALLS CHURCH VA","Industrial Goods",25218,NA,9400723,7988583,19,160,"",16025,126,-26,41274,"Northrop Grumman (NOC)",-5,3576969,2489832,NA,"Northrop Grumman (NOC)",NA,20966275,NA,"31-Dec",1978,NA,1471251,"Wesley G. Bush",8000011,92,-5,71,99,7472310,"NOC"
"93",93,1,0,6414249,1686915,3570,"HEWLETT PACKARD CO",220901,"",15362142,"PALO ALTO CA","Technology",120357,NA,0,0,-46,0,"CHIEF EXECUTIVE: Ms. Whitman became CEO on September 22 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",26982,0,0,41213,"Hewlett-Packard (HPQ)",NA,0,0,NA,"Hewlett-Packard (HPQ)",NA,0,NA,"31-Oct",NA,NA,0,"Meg Whitman",7040076,93,-5,11,198,1907817,"HPQ"
"94",94,1500000,0,0,3915000,3570,"INTERNATIONAL BUSINESS MACHINES CORP",687725,"*",15361725,"ARMONK NY","Technology",104507,NA,0,0,5.97,0,"CHIEF EXECUTIVE: Mrs. Rometty became CEO on January 1 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",213484,97,0,41274,"I.B.M. (IBM)",5,0,0,NA,"I.B.M. (IBM)",NA,0,NA,"31-Dec",16604,NA,0,"Virginia M. Rometty",9259000,94,-2,16,149,6102725,"IBM"
"95",95,1e+06,1750000,0,2e+06,6798,"PUBLIC STORAGE",230000,"",15339125,"GLENDALE CA","Financial",1827,NA,0,2759800,11,4,"",24894,52,456,41274,"Public Storage (PSA)",19,0,9800,NA,"Public Storage (PSA)",NA,2759800,NA,"31-Dec",670,NA,1e+06,"Ronald L. Havner Jr.",12109125,95,6,191,128,3230000,"PSA"
"96",96,1494214,2788500,5433431,3375000,2836,"GILEAD SCIENCES INC",7500,"",15257272,"FOSTER CITY CA","Healthcare",9703,NA,5535569,4216854,79,126,"",55917,131,-2,41274,"Gilead Sciences (GILD)",-8,5863222,5000,NA,"Gilead Sciences (GILD)",NA,15615645,NA,"31-Dec",2592,NA,1423354,"John C. Martin",4947127,96,16,122,11,4876714,"GILD"
"97",97,3478846,0,5749992,0,5700,"BED BATH & BEYOND INC",22211,"",15251043,"UNION NJ","Services",10915,NA,5225036,2911803,-5,73,"",12488,95,16,41333,"Bed Bath & Beyond (BBBY)",5,5000003,17572,NA,"Bed Bath & Beyond (BBBY)",NA,13136842,NA,"28-Feb",1038,NA,2894231,"Steven H. Temares",5999994,97,15,117,175,3501057,"BBBY"
"98",98,1600000,2632000,4404706,2432000,2840,"PROCTER & GAMBLE CO",312559,"",15198597,"CINCINNATI OH","Consumer Goods",83680,NA,5599736,4416424,0,136,"",168699,154,-6,41090,"Procter & Gamble (PG)",-21,6171877,184424,NA,"Procter & Gamble (PG)",NA,16188037,NA,"30-Jun",9317,NA,1600000,"Robert A. McDonald",6449332,98,3,19,166,4344559,"PG"
"99",99,1400000,6398054,3668434,6290097,6311,"PRUDENTIAL FINANCIAL INC",105306,"",15119928,"NEWARK NJ","Financial",84815,NA,3345931,7892326,10,111,"",24798,183,3,41274,"Prudential Financial (PRU)",-87,3456007,94272,NA,"Prudential Financial (PRU)",NA,14694264,NA,"31-Dec",424,NA,1400000,"John R. Strangfeld",3656091,99,73,18,134,7795403,"PRU"
"100",100,1e+06,4500000,3000516,6500000,6331,"TRAVELERS COMPANIES INC.",105605,"",15106096,"SAINT PAUL MN","Financial",25740,NA,5400018,5586042,24,131,"",27145,15,-5,41274,"Travelers Companies (TRV)",73,4851039,86042,NA,"Travelers Companies (TRV)",NA,15837099,NA,"31-Dec",2473,NA,1e+06,"Jay S. Fishman",4499975,100,1,69,83,7605605,"TRV"
"101",101,1100000,2252800,3850000,6164730,6331,"ALLSTATE CORP",111204,"",15075948,"NORTHBROOK IL","Financial",33315,NA,2310005,3422248,50,33,"",19179,7,50,41274,"Allstate (ALL)",193,4290001,69448,NA,"Allstate (ALL)",NA,10022254,NA,"31-Dec",2306,NA,1100000,"Thomas J. Wilson II",3850014,101,2,58,26,7375934,"ALL"
"102",102,932615,1844063,0,2312400,3674,"BROADCOM CORP",5000,"",15069045,"IRVINE CA","Technology",8006,NA,13369005,2707286,14,139,"",18896,158,-6,41274,"Broadcom (BRCM)",-22,0,5146,NA,"Broadcom (BRCM)",NA,16076291,NA,"31-Dec",719,NA,858077,"Scott A. McGregor",11819030,102,8,132,118,3250015,"BRCM"
"103",103,896154,0,2135000,2750000,4922,"ATLAS ENERGY L.P.",2066013,"",15045667,"PITTSBURGH PA","Utilities",1521,NA,0,0,57,0,"CHIEF EXECUTIVE: Mr. Cohen became CEO on  February 18 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",1785,0,0,41274,"Atlas Energy (ATLS)",NA,0,0,NA,"Atlas Energy (ATLS)",NA,0,NA,"31-Dec",NA,NA,0,"Edward E. Cohen",7198500,103,-3,197,22,5712167,"ATLS"
"104",104,920000,0,0,2318000,2911,"HOLLYFRONTIER CORP",474398,"",15023104,"DALLAS TX","Basic Materials",20091,NA,0,0,110,0,"CHIEF EXECUTIVE: Mr. Jennings became CEO on July 1 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",9475,16,0,41255,"HollyFrontier (HFC)",69,0,0,NA,"HollyFrontier (HFC)",NA,0,NA,"12-Dec",1727,NA,0,"Michael C. Jennings",11310706,104,30,79,6,3712398,"HFC"
"105",105,1050000,2625000,0,1837500,5700,"PIER 1 IMPORTS INC/DE",279712,"",15009787,"FORT WORTH TX","Services",1705,NA,1226250,3810631,32,12,"",2404,159,198,41333,"Pier 1 Imports (PIR)",-23,0,135631,NA,"Pier 1 Imports (PIR)",NA,5036881,NA,"28-Feb",129,NA,1050000,"Alexander W. Smith",11842575,105,11,195,59,3167212,"PIR"
"106",106,1700000,0,10879440,2295000,1389,"SCHLUMBERGER LTD /NV/",104283,"",14978723,"HOUSTON TX","Basic Materials",42149,NA,0,0,3,0,"CHIEF EXECUTIVE: Mr. Kibsgaard became CEO on August 1 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",92048,66,0,41274,"Schlumberger (SLB)",15,0,0,NA,"Schlumberger (SLB)",NA,0,NA,"31-Dec",5439,NA,0,"Paal Kibsgaard",0,106,14,43,157,4099283,"SLB"
"107",107,1e+06,9981440,0,8487076,7311,"OMNICOM GROUP INC",157235,"",14846067,"NEW YORK NY","Services",14219,NA,4277760,11142777,15,127,"",13060,96,-4,41274,"Omnicom Group (OMC)",5,0,161337,NA,"Omnicom Group (OMC)",NA,15420537,NA,"31-Dec",998,NA,1e+06,"John D. Wren",5201756,107,3,96,116,9644311,"OMC"
"108",108,1e+06,0,0,6300000,6798,"PROLOGIS INC.",7500,"***",14807482,"SAN FRANCISCO CA","Financial",2006,NA,0,0,32,0,"CHIEF EXECUTIVE: Mr. Rakowich became Co-CEO on June 3 2011 and left the Co-CEO position on December 31 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.  PERKS/OTHER: Excludes 6134645 in severance related payments.  TOTAL VALUE OF EQUITY HOLDINGS: Cannot be determined because the company did not disclose the executive's ownership in the most recent proxy filing.",16888,0,0,41274,"Prologis (PLD)",NA,0,0,NA,"Prologis (PLD)",NA,0,NA,"31-Dec",NA,NA,0,"Walter C. Rakowich",7499982,108,38,188,62,7307500,"PLD"
"109",109,1e+06,1e+06,6722193,3e+06,4700,"EXPEDIA INC.",895000,"",14423193,"BELLEVUE WA","Services",4030,NA,0,2379633,115,6,"STOCK AWARDS: Excludes 885876 related to the acceleration of an award granted in a prior year.  STOCK OPTION GAINS: Excludes value of shares realized upon exercise of options of TripAdvisor which was spun-off from Expedia in December 2011.",8318,127,309,41274,"Expedia (EXPE)",-7,1149998,379633,NA,"Expedia (EXPE)",NA,3529631,NA,"31-Dec",303,NA,1e+06,"Dara Khosrowshahi",2806000,109,17,164,5,4895000,"EXPE"
"110",110,1018077,2754884,0,2823392,1221,"CONSOL ENERGY INC",177286,"",14327018,"CANONSBURG PA","Basic Materials",5430,NA,8924607,3953821,-11,123,"",7323,167,-1,41274,"Consol Energy (CNX)",-39,1597207,98937,NA,"Consol Energy (CNX)",NA,14475635,NA,"31-Dec",388,NA,1100000,"J. Brett Harvey",10308263,110,-11,151,182,4018755,"CNX"
"111",111,535385,0,3374074,5300000,3812,"HARRIS CORP /DE/",434997,"",14266280,"MELBOURNE FL","Technology",5451,NA,0,0,-4,0,"CHIEF EXECUTIVE: Mr. Brown became CEO on November 1 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",4739,128,0,41090,"Harris Corp. (HRS)",-7,0,0,NA,"Harris Corp. (HRS)",NA,0,NA,"30-Jun",551,NA,0,"William M. Brown",4621824,111,1,150,174,6270382,"HRS"
"112",112,933333,0,0,3e+06,2911,"PHILLIPS 66",117304,"*",14083918,"HOUSTON TX","Basic Materials",179460,NA,0,0,0,0,"CHIEF EXECUTIVE: Mr. Garland became CEO on April 30 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.  TOTAL RETURN: Cannot be calculated because the Company's stock was not publicly traded for a full fiscal year.",33002,143,0,41274,"Phillips 66 (PSX)",-14,0,0,NA,"Phillips 66 (PSX)",NA,0,NA,"31-Dec",4124,NA,0,"Greg C. Garland",10033281,112,-8,4,0,4050637,"PSX"
"113",113,1300000,4940000,0,5300000,6324,"UNITEDHEALTH GROUP INC",287443,"",13887455,"MINNEAPOLIS MN","Healthcare",110618,NA,7000028,6394804,9,106,"",55592,86,4,41274,"UnitedHealth Group (UNH)",7.47,0,154804,NA,"UnitedHealth Group (UNH)",NA,13394832,NA,"31-Dec",5526,NA,1300000,"Stephen J. Hemsley",7000012,113,9,13,137,6887443,"UNH"
"114",114,1270833,2085500,0,3905831,3537,"TEREX CORP",189264,"",13858524,"WESTPORT CT","Industrial Goods",7348,NA,4235589,3516573,108,27,"",3112,9,79,41274,"Terex (TEX)",168.39,0,181073,NA,"Terex (TEX)",NA,7752162,NA,"31-Dec",104,NA,1250000,"Ronald M. DeFeo",8492596,114,13,136,7,5365928,"TEX"
"115",115,1400000,0,0,3150000,4813,"VERIZON COMMUNICATIONS INC",535577,"",13835632,"NEW YORK NY","Technology",115846,NA,0,0,13,0,"CHIEF EXECUTIVE: Mr. McAdam became CEO on August 1 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",123678,176,0,41274,"Verizon Communications (VZ)",-64,0,0,NA,"Verizon Communications (VZ)",NA,0,NA,"31-Dec",875,NA,0,"Lowell C. McAdam",8750055,115,4,12,121,5085577,"VZ"
"116",116,979167,0,3206663,8581144,5812,"MCDONALDS CORP",324816,"*",13751919,"OAK BROOK IL","Services",27567,NA,0,0,-9,0,"CHIEF EXECUTIVE: Mr. Thompson became CEO on July 1 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",88456,119,0,41274,"McDonald's (MCD)",-1,0,0,NA,"McDonald's (MCD)",NA,0,NA,"31-Dec",5465,NA,0,"Donald Thompson",660129,116,2,67,181,9885127,"MCD"
"117",117,1263098,375000,5371684,6575215,4513,"FEDEX CORP",470971,"",13680968,"MEMPHIS TN","Services",42680,NA,0,2036091,-4,22,"",28222,31,88,41060,"FedEx (FDX)",40,5224659,428061,NA,"FedEx (FDX)",NA,7260750,NA,"31-May",2032,NA,1233030,"Frederick W. Smith",0,117,9,41,173,8309284,"FDX"
"118",118,1100000,2850000,6844930,2800000,2834,"ALEXION PHARMACEUTICALS INC",15021,"",13599451,"CHESHIRE CT","Healthcare",1134,NA,2047440,3812250,31,103,"",18299,26,4,41274,"Alexion Pharmaceuticals (ALXN)",45,7170366,12250,NA,"Alexion Pharmaceuticals (ALXN)",NA,13030056,NA,"31-Dec",255,NA,950000,"Leonard Bell",2839500,118,45,199,63,3915021,"ALXN"
"119",119,1262308,0,0,3316000,2836,"AMGEN INC",420059,"*",13570091,"THOUSAND OAKS CA","Healthcare",17265,NA,0,0,36,0,"CHIEF EXECUTIVE: Mr. Bradway became CEO on May 23 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",64515,57,0,41274,"Amgen (AMGN)",18,0,0,NA,"Amgen (AMGN)",NA,0,NA,"31-Dec",4345,NA,0,"Robert A. Bradway",8571724,119,11,85,45,4998367,"AMGN"
"120",120,1030038,1300000,0,1892800,3829,"THERMO FISHER SCIENTIFIC INC.",189863,"",13555101,"WALTHAM MA","Healthcare",12510,NA,0,2452517,43,18,"",22809,47,146,41274,"Thermo Fisher Scientific (TMO)",22.96,3064050,152517,NA,"Thermo Fisher Scientific (TMO)",NA,5516567,NA,"31-Dec",1258,NA,1e+06,"Marc N. Casper",10442400,120,8,108,32,3112701,"TMO"
"121",121,1280000,3200000,2533602,4e+06,2851,"PPG INDUSTRIES INC",595511,"",13475794,"PITTSBURGH PA","Basic Materials",15200,NA,4071672,4522787,65,51,"",19334,144,29,41274,"PPG Industries (PPG)",-14,1833588,176954,NA,"PPG Industries (PPG)",NA,10428047,NA,"31-Dec",941,NA,1145833,"Charles E. Bunch",5066681,121,2,93,17,5875511,"PPG"
"122",122,1033333,6751400,2249999,9304867,3011,"GOODYEAR TIRE & RUBBER CO /OH/",57849,"",13432552,"AKRON OH","Consumer Goods",20992,NA,683230,7810320,-3,49,"",3389,169,30,41274,"Goodyear Tire and Rubber (GT)",-43,1829996,58920,NA,"Goodyear Tire and Rubber (GT)",NA,10323546,NA,"31-Dec",183,NA,1e+06,"Richard J. Kramer",786504,122,-8,78,171,10396049,"GT"
"123",123,1294231,2700000,0,3785600,2836,"BIOGEN IDEC INC.",377530,"",13413015,"WESTON MA","Healthcare",5516,NA,7235199,4090226,33,66,"",34589,73,18,41274,"Biogen Idec (BIIB)",11.8,0,147918,NA,"Biogen Idec (BIIB)",NA,11325425,NA,"31-Dec",1380,NA,1242308,"George A. Scangos",7955654,123,9,149,58,5457361,"BIIB"
"124",124,1204067,2516313,5384000,4140720,2844,"COLGATE PALMOLIVE CO",272793,"",13407289,"NEW YORK NY","Consumer Goods",17085,NA,4647563,3965521,16,104,"",48893,110,4,41258,"Colgate-Palmolive (CL)",2,4235754,277741,NA,"Colgate-Palmolive (CL)",NA,12848838,NA,"15-Dec",2472,NA,1171467,"Ian M. Cook",2405709,124,2,86,112,5617580,"CL"
"125",125,2e+06,3e+06,0,5700000,6211,"GOLDMAN SACHS GROUP INC",323514,"",13296923,"NEW YORK NY","Financial",41664,NA,10710073,5449556,43,153,"",59380,8,-18,41274,"Goldman Sachs Group (GS)",191,0,449556,NA,"Goldman Sachs Group (GS)",NA,16159629,NA,"31-Dec",7292,NA,2e+06,"Lloyd C. Blankfein",5273409,125,13,45,33,8023514,"GS"
"126",126,977159,2e+06,0,892800,6324,"AETNA INC /PA/",256971,"",13252351,"HARTFORD CT","Healthcare",36596,NA,7299731,3251396,11,52,"",15190,151,26,41274,"Aetna (AET)",-17,0,251396,NA,"Aetna (AET)",NA,10551127,NA,"31-Dec",1658,NA,1e+06,"Mark T. Bertolini",11125421,126,8,51,126,2126930,"AET"
"127",127,790000,3750000,0,3375000,6282,"INVESCO LTD.",728966,"",13243935,"ATLANTA GA","Financial",4177,NA,8349978,5070480,33,124,"",11504,129,-1,41274,"Invesco (IVZ)",-7,0,530480,NA,"Invesco (IVZ)",NA,13420458,NA,"31-Dec",677,NA,790000,"Martin L. Flanagan",8349969,127,2,161,57,4893966,"IVZ"
"128",128,1066667,0,3760313,4200000,6311,"METLIFE INC",313016,"",13237027,"NEW YORK NY","Financial",68150,NA,0,0,8,0,"CHIEF EXECUTIVE: Mr. Kandarian became CEO on May 1 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",36023,181,0,41274,"MetLife (MET)",-81.18,0,0,NA,"MetLife (MET)",NA,0,NA,"31-Dec",1154,NA,0,"Steven A. Kandarian",3897031,128,-3,25,142,5579683,"MET"
"129",129,1035841,2778118,3950347,2748581,3674,"TEXAS INSTRUMENTS INC",272710,"",13131167,"DALLAS TX","Technology",12825,NA,5194500,4022488,9,135,"",34127,156,-6,41274,"Texas Instruments (TXN)",-21,4689075,254283,NA,"Texas Instruments (TXN)",NA,13906063,NA,"31-Dec",1728,NA,990087,"Richard K. Templeton",5123688,129,-7,107,139,4057132,"TXN"
